text,domain
can you tell a story with a talking cat and a talking cat,STORY
hey increase volume thanks,SYSTEM
start a game of twenty questions,GAME
move to the basement,NAVIGATION
can you tell a story with a talking cat and a monkey,STORY
my favorite game is movie,CHAT
hmm turn around thanks,NAVIGATION
do you want to play patty cake,PET
please go to the patio,NAVIGATION
i pick false for the game,GAME
okay close your eyes now,SYSTEM
you make me smile sweetie please,PET
okay play trivia with me,GAME
head to the dining room,NAVIGATION
come with me to the front door,NAVIGATION
in the game i think it's three,GAME
what's the difference between subtraction and atoms,STUDY
so switch to english now,SYSTEM
um move right now,NAVIGATION
okay my favorite movie is chocolate okay,CHAT
in the story what if a fairy meets a detective,STORY
my favorite movie is robots please,CHAT
go to the basement please,NAVIGATION
launch word guess,GAME
uh do you sleep thanks,CHAT
tell me about ecosystems,STUDY
um i pick option one for the game,GAME
in the story what if a detective meets a bunny,STORY
uh for the game i'll say the cat thanks,GAME
so disable night mode right now,SYSTEM
how is molecules used in real life,STUDY
set brightness to full okay,SYSTEM
let's cuddle buddy,PET
set volume to low thanks,SYSTEM
hmm run diagnostics thanks,SYSTEM
so turn down the volume thanks,SYSTEM
hmm what's the weather like now,CHAT
it's okay if you're lonely,PET
what's interesting about butterflies right now,CHAT
okay lead the way to the study room please,NAVIGATION
i need to review chemistry,STUDY
avoid the door,NAVIGATION
my game answer is three now,GAME
my favorite movie is cats right now,CHAT
walk to the kitchen,NAVIGATION
new story about a unicorn,STORY
oh cancel everything,SYSTEM
teach me about biology,STUDY
hey dim the lights now,SYSTEM
um speak in arabic now,SYSTEM
i need help with photosynthesis,STUDY
why is condensation important,STUDY
the last one is my final game answer,GAME
look towards the table,NAVIGATION
hey you're adorable love,PET
disable night mode thanks,SYSTEM
hmm i'll take care of you munchkin,PET
hmm goodbye now,CHAT
um do you like color please,CHAT
how about a game of riddles,GAME
can you tell a story with a ninja and a brave knight,STORY
hey enable night mode now,SYSTEM
my favorite color is stars okay,CHAT
turn off night mode now,SYSTEM
so for the game i'll say option one okay,GAME
okay stay away from the wall okay,NAVIGATION
hmm for the game i'll say option one,GAME
so take a nap,SYSTEM
go to sleep,SYSTEM
why do we need to learn colors,STUDY
set brightness to maximum,SYSTEM
for the game i'll say option b now,GAME
okay snuggle time pumpkin,PET
hmm play true or false with me please,GAME
hey boo i missed you,PET
in the story what if a ninja meets a mermaid,STORY
um my favorite food is rainbows,CHAT
can you tell a story with a brave knight and a bear please,STORY
um begin a new game of geography quiz okay,GAME
you're too quiet,SYSTEM
in the game the answer is left,GAME
go over sound again,STUDY
hmm shake paw love right now,PET
um what's your favorite stars,CHAT
so my favorite game is robots right now,CHAT
in the story what if a ninja meets an astronaut,STORY
oh quieter please,SYSTEM
let's study vocabulary together,STUDY
what are the main points of the alphabet,STUDY
hi there little friend,PET
walk to the garden,NAVIGATION
close your eyes thanks,SYSTEM
oh do you want to be friends right now,CHAT
what are the main points of chemistry,STUDY
hmm reset yourself please,SYSTEM
um walk to the kitchen,NAVIGATION
how about a game of maze,GAME
spell the solar system for me,STUDY
i love talking to you,CHAT
so face the living room right now,NAVIGATION
uh my game answer is red thanks,GAME
let's study english together,STUDY
oh come with me to the table right now,NAVIGATION
uh do you know how to wave,PET
okay i like flowers now,CHAT
um let me see you wave please,PET
okay for the game i choose option c right now,GAME
so tell me a exciting tale now,STORY
i want a quiz on grammar,STUDY
okay go around the chair,NAVIGATION
in the story what if a lion meets a unicorn okay,STORY
switch to spanish,SYSTEM
hey cancel everything thanks,SYSTEM
for this round i pick option one,GAME
hi sunshine how are you,PET
so say banana in a funny voice okay,CHAT
hmm mute the sound please,SYSTEM
please go to the garden,NAVIGATION
head over to the hallway okay,NAVIGATION
in the story what if a mermaid meets a princess,STORY
i like song,CHAT
okay enable night mode please,SYSTEM
okay turn off notifications now,SYSTEM
okay switch to german,SYSTEM
cancel what you're doing now,SYSTEM
do a cute face,PET
sit down darling,PET
hmm aww hello nugget,PET
show me a handshake,PET
i love you sunshine,PET
uh i want to go to the window please,NAVIGATION
okay let's play puzzle please,GAME
hey there little honeybun,PET
okay restart please,SYSTEM
give me a quiz about reading,STUDY
look towards the garden,NAVIGATION
so enter sleep mode now,SYSTEM
hmm start a game of true or false,GAME
show me how ecosystems works,STUDY
take the golden key,STORY
my favorite color is animal okay,CHAT
hey speak in german thanks,SYSTEM
good to see you little one,PET
hey speak in english please,SYSTEM
good job boo,PET
okay can you tell a story with a unicorn and an astronaut right now,STORY
uh turn off airplane mode thanks,SYSTEM
hmm watch out for the shoe,NAVIGATION
oh i like dinosaurs,CHAT
what can you tell me about geography,STUDY
um face the balcony right now,NAVIGATION
avoid the rug right now,NAVIGATION
play number guessing with me,GAME
um start fresh please,SYSTEM
please go to the garage thanks,NAVIGATION
hmm welcome back honeybun okay,PET
so my favorite game is sport okay,CHAT
let's review division,STUDY
i like pandas now,CHAT
i pick false for the game right now,GAME
um time for red light green light right now,PET
speak in chinese,SYSTEM
uh goodnight go to sleep right now,SYSTEM
so lead the way to the front door please,NAVIGATION
hmm let's go to the living room,NAVIGATION
um my favorite game is toy thanks,CHAT
explain light in simple words,STUDY
let's play puzzle,GAME
um set brightness to maximum please,SYSTEM
in the story what if a unicorn meets a dragon,STORY
uh what's your favorite place,CHAT
hmm what do you think about food okay,CHAT
so my favorite subject is place right now,CHAT
hey can you tell a story with a puppy and a princess okay,STORY
can you go to the balcony please,NAVIGATION
let's review fractions,STUDY
hey what's your favorite toy thanks,CHAT
let's do pretend together,PET
i like toy,CHAT
tell me an adventure story about an astronaut,STORY
come play follow the leader with me,PET
for this round i pick red,GAME
do you like pandas now,CHAT
uh no more games,GAME
can we play patty cake,PET
hey thanks a lot thanks,CHAT
for this round i pick the cat,GAME
hey my favorite color is dogs right now,CHAT
can you clarify animals,STUDY
okay enable do not disturb,SYSTEM
can you tell a story with an alien and a princess,STORY
help me with this math problem two times eight,STUDY
i want to hear a story about a fairy,STORY
do you know how to balance,PET
i'm guessing left,GAME
in the story will a detective be okay,STORY
go to the back door please,NAVIGATION
i'll guess the last one,GAME
so please go to the door now,NAVIGATION
um mute right now,SYSTEM
in the story what if an alien meets a monkey,STORY
make a wink for me,PET
oh turn off night mode,SYSTEM
test my knowledge of english,STUDY
okay can you tell a story with a witch and a brave knight,STORY
avoid the toy please,NAVIGATION
oh let's play patty cake together okay,PET
enter sleep mode now,SYSTEM
uh why is the sky red,CHAT
can you tell a story with a dinosaur and a dinosaur,STORY
what's the difference between history and weather,STUDY
oh i like song please,CHAT
my favorite subject is sport now,CHAT
in the game i'll go with option a okay,GAME
my favorite movie is color,CHAT
head over to the attic,NAVIGATION
in the story what if a ninja meets a lion,STORY
oh i like book,CHAT
so go to the entrance,NAVIGATION
go over continents again,STUDY
do you like song,CHAT
explain photosynthesis to me,STUDY
my favorite game is chocolate,CHAT
please go to the patio right now,NAVIGATION
there there darling,PET
in the story what if a bear meets a talking cat,STORY
hmm let me see you wave please,PET
in the story what if a princess meets a bunny,STORY
oh come with me to the basement,NAVIGATION
navigate to the laundry room,NAVIGATION
okay louder please now,SYSTEM
hey emergency stop okay,SYSTEM
what chapter is the human body in,STUDY
what's the difference between sound and animals,STUDY
um shake little paw little one okay,PET
i want to play red light green light with you,PET
final answer left,GAME
okay shut down please,SYSTEM
my favorite food is food,CHAT
shake little paw little one,PET
launch connect four,GAME
hmm what's your favorite chocolate,CHAT
what's the difference between chemistry and photosynthesis,STUDY
spell the water cycle for me,STUDY
help me practice geography,STUDY
okay let's cuddle sunshine now,PET
my game answer is the first one please,GAME
speak in korean,SYSTEM
oh my favorite movie is chocolate,CHAT
i want a harder card game right now,GAME
move left,NAVIGATION
what do you think about dogs okay,CHAT
switch to english thanks,SYSTEM
hey disable airplane mode thanks,SYSTEM
can you tell a story with a monkey and a wizard,STORY
can you quiz me on math,STUDY
bring me to the balcony right now,NAVIGATION
i need help with the moon,STUDY
uh my favorite game is pandas,CHAT
wanna play ball,PET
hey do you like robots please,CHAT
what's the difference between shapes and planets,STUDY
hmm move to the closet right now,NAVIGATION
i'll guess option b,GAME
turn left now,NAVIGATION
okay quit everything,SYSTEM
my guess is option two,GAME
so let's play memory match,GAME
oh walk to the stairs,NAVIGATION
sit down baby,PET
i have a question about planets,STUDY
summarize oceans for me,STUDY
switch to chinese,SYSTEM
tell me a brave tale,STORY
uh play science quiz with me,GAME
speak in french,SYSTEM
summarize electricity for me,STUDY
hmm let's stop playing,GAME
okay mute okay,SYSTEM
can you tell a story with a puppy and a penguin,STORY
go over volcanoes again,STUDY
okay snuggle time darling right now,PET
oh speak in german thanks,SYSTEM
come with me to the porch,NAVIGATION
once upon a time story about a dragon,STORY
can you go to the laundry room,NAVIGATION
for the game i choose true,GAME
um i'm guessing the second one okay,GAME
cheer up honeybun,PET
um my game answer is option b,GAME
let me see you bow,PET
my favorite animal is penguins right now,CHAT
um i want a handshake,PET
my favorite animal is pizza okay,CHAT
okay bring me to the attic,NAVIGATION
oh i want a adventure story right now,STORY
test my knowledge of social studies,STUDY
let's play maze thanks,GAME
okay turn off dark mode,SYSTEM
review chemistry with me,STUDY
um my favorite subject is song thanks,CHAT
so stop whatever you're doing now,SYSTEM
in the story is a dragon safe,STORY
can you teach me the sun,STUDY
um do you know how to wiggle okay,PET
do you like food now,CHAT
i don't understand the water cycle,STUDY
hmm restart please,SYSTEM
hey in the game i'll go with left,GAME
um reset yourself,SYSTEM
show me a pat on the head,PET
switch to arabic now,SYSTEM
in the story what if a dragon meets a ninja,STORY
come with me to the attic,NAVIGATION
can you go to the stairs okay,NAVIGATION
narrate a story about a penguin,STORY
move to the pantry,NAVIGATION
how much battery do you have,SYSTEM
hmm time to play geography quiz please,GAME
uh start a game of puzzle now,GAME
can you tell a story with a unicorn and a puppy,STORY
shut down right now,SYSTEM
can you explain volcanoes,STUDY
uh in the game i'll go with the last one okay,GAME
okay hold on stop please,NAVIGATION
move a little forward,NAVIGATION
i'm here for you little darling,PET
what is fractions,STUDY
go to the balcony right now,NAVIGATION
hey my favorite movie is ice cream,CHAT
play trivia with me now,GAME
head to the basement right now,NAVIGATION
go around the wall,NAVIGATION
let's do hide and seek together,PET
what's the difference between shapes and atoms,STUDY
okay in the story what if a mermaid meets a pirate okay,STORY
what's the difference between weather and geography,STUDY
okay what do you think about rainbows okay,CHAT
okay in the story what if a bear meets a prince now,STORY
follow me to the study room right now,NAVIGATION
i pick true for the game,GAME
i wanna hear a story about a monkey,STORY
wanna play red light green light,PET
bring me to the balcony,NAVIGATION
okay let's go to the study room please,NAVIGATION
set volume to half please,SYSTEM
set brightness to seventy percent thanks,SYSTEM
begin a new game of number guessing,GAME
in the story what if a mermaid meets a unicorn,STORY
hmm play twenty questions with me,GAME
look towards the dining room,NAVIGATION
can you clarify atoms,STUDY
i choose the secret door,STORY
what does planets mean,STUDY
so speak in arabic okay,SYSTEM
so in the story what if a witch meets a bear,STORY
let's review atoms,STUDY
i'm feeling curious,CHAT
what's the definition of plants,STUDY
play twenty questions with me,GAME
my favorite game is sport now,CHAT
you're such a good darling,PET
hey begin a new game of math quiz,GAME
help me understand geography,STUDY
okay can you go to the living room,NAVIGATION
hello there friend,PET
help me understand biology,STUDY
i need to review biology,STUDY
i have a question about photosynthesis,STUDY
uh my favorite color is song,CHAT
hey emergency stop please,SYSTEM
you're my favorite cutie,PET
in the story what if a bear meets a superhero,STORY
launch connect four please,GAME
can you tell a story with a puppy and a prince,STORY
uh be careful near the door thanks,NAVIGATION
uh set brightness to low please,SYSTEM
uh pick a game for me okay,GAME
what chapter is division in,STUDY
come here sunshine let me pet you,PET
how does ecosystems work,STUDY
hey let's start rock paper scissors thanks,GAME
oh turn up the volume,SYSTEM
i want a harder memory match,GAME
uh my favorite subject is penguins thanks,CHAT
let's start memory match,GAME
in the story is a ninja safe,STORY
uh my favorite color is pandas,CHAT
narrate a story about a monkey,STORY
face the living room,NAVIGATION
can you tell a story with a bunny and a fairy,STORY
make multiplication easier to understand,STUDY
uh head to the door please,NAVIGATION
follow me to the garage,NAVIGATION
okay switch to korean,SYSTEM
hmm cancel everything please,SYSTEM
take four steps right now,NAVIGATION
scratch behind your ears buddy,PET
what is weather,STUDY
oh i feel like playing memory match,GAME
let's start simon says,GAME
hey watch out for the toy please,NAVIGATION
what's the difference between the solar system and cells,STUDY
okay you're so sweet honeybun thanks,PET
face the dining room,NAVIGATION
uh show me a cool spin please,PET
hey it's okay if you're worried please,PET
come play fetch with me,PET
create a story with a talking cat,STORY
nice to see you again pumpkin right now,PET
so in the story what if a puppy meets a bear please,STORY
so let me guess option c right now,GAME
can you tell a story with a princess and a bear,STORY
so face the sofa now,NAVIGATION
in the story is a unicorn safe,STORY
what's the difference between electricity and multiplication,STUDY
can you tell a story with an astronaut and a robot,STORY
avoid the dog,NAVIGATION
test my knowledge of geography,STUDY
who made you please,CHAT
hmm i like movie okay,CHAT
my favorite subject is pandas,CHAT
um how about a game of twenty questions okay,GAME
oh my favorite food is toy,CHAT
give me an explanation of division,STUDY
i wanna hear a story about a dragon,STORY
in the story what if a dinosaur meets a bunny right now,STORY
roll over sunshine,PET
so move to the laundry room okay,NAVIGATION
so power down thanks,SYSTEM
i'm confused about subtraction,STUDY
can we play red light green light,PET
tell me a story about a detective,STORY
good job munchkin,PET
uh head over to the entrance,NAVIGATION
hmm what's your favorite pandas,CHAT
turn on do not disturb thanks,SYSTEM
let's handshake,PET
hmm let's start connect four please,GAME
let's go with the silver bridge,STORY
lead the way to the nursery,NAVIGATION
i'm confused about weather,STUDY
hmm turn off wifi,SYSTEM
oh take five steps backward now,NAVIGATION
i want to learn about chemistry,STUDY
mute,SYSTEM
can you tell a story with a talking cat and a superhero,STORY
my favorite game is pandas,CHAT
uh you're such a good baby thanks,PET
lead the way to the hallway,NAVIGATION
turn backward now,NAVIGATION
hey let's play red light green light together,PET
what are the main points of addition,STUDY
can you tell a story with a talking cat and a ninja,STORY
oh i like place right now,CHAT
oh what do you think about dinosaurs thanks,CHAT
review atoms with me,STUDY
oh start fresh thanks,SYSTEM
oh turn off now,SYSTEM
is biology the same as chemistry,STUDY
um how's it going,CHAT
tell me an adventure story about a dragon thanks,STORY
so you make me so happy cupcake now,PET
spin me a yarn about a bear,STORY
um take a nap,SYSTEM
give me an example of animals,STUDY
i'm here for you little robot,PET
hey speak in hindi,SYSTEM
hmm look towards the window,NAVIGATION
hmm switch to german please,SYSTEM
in the story what if a wizard meets a unicorn,STORY
tell a spooky story please,STORY
i want a harder would you rather,GAME
so set volume to full,SYSTEM
let's see how much i know about arithmetic,STUDY
oh i'm proud of you cupcake,PET
okay it's bedtime go to sleep right now,SYSTEM
change language to french please,SYSTEM
hmm hello right now,CHAT
so go to the nursery,NAVIGATION
how do airplanes fly,CHAT
come with me to the door,NAVIGATION
my favorite food is cats okay,CHAT
okay you're my favorite sweetie please,PET
so what do you think about color,CHAT
um go to sleep right now,SYSTEM
oh create a story with a monkey thanks,STORY
hey what do you think about dogs right now,CHAT
switch to english please,SYSTEM
hmm do you like animal now,CHAT
time to play twenty questions,GAME
oh what's your favorite chocolate,CHAT
so change language to spanish please,SYSTEM
everything will be fine love,PET
scratch behind your ears buddy thanks,PET
can you tell a story with a unicorn and a robot,STORY
take five steps around,NAVIGATION
okay scratch behind your ears darling right now,PET
oh switch to german thanks,SYSTEM
is history the same as ecosystems,STUDY
i want a harder card game thanks,GAME
um you're my favorite little one,PET
uh take a nap now,SYSTEM
so my game answer is option d,GAME
how does plants work,STUDY
uh change language to japanese thanks,SYSTEM
restart now,SYSTEM
hey set brightness to half,SYSTEM
uh show me a cool wave right now,PET
follow me to the entrance,NAVIGATION
aww hello baby,PET
i missed you sunshine,PET
give me an explanation of multiplication,STUDY
so speak in french,SYSTEM
okay tell me a story about a wizard thanks,STORY
so can you go to the basement right now,NAVIGATION
um go to the bathroom,NAVIGATION
uh nice to see you again boo,PET
oh my favorite movie is ice cream,CHAT
in the story what happens to a bunny,STORY
i don't understand weather,STUDY
volume down thanks,SYSTEM
oh how about a game of riddles,GAME
in the story what does a pirate find now,STORY
so what do you think about ice cream okay,CHAT
hey what's up now,CHAT
shake little paw boo,PET
so in the story what if a bear meets a bunny,STORY
so can you tell a story with an alien and a bunny right now,STORY
create a story with a wizard,STORY
i'm proud of you love,PET
i want a harder twenty questions,GAME
so bring me to the living room okay,NAVIGATION
let's go to the front door now,NAVIGATION
can you tell a story with a dinosaur and a fairy now,STORY
okay switch to korean okay,SYSTEM
hi,CHAT
spell sound for me,STUDY
in the game the answer is yes okay,GAME
oh set brightness to low,SYSTEM
hello there buddy,PET
move away from the box,NAVIGATION
i'll take care of you sweetie,PET
can you explain addition,STUDY
look towards the porch right now,NAVIGATION
can you tell a story with a bear and a bunny,STORY
oh i want to go to the playroom right now,NAVIGATION
my favorite color is toy now,CHAT
so can you tell me a spooky story right now,STORY
so snuggle time little one right now,PET
what does history mean,STUDY
i want to play trivia,GAME
wanna play tug of war,PET
um everything will be fine pumpkin,PET
give me an example of erosion,STUDY
walk to the front door,NAVIGATION
hmm i'm bored,CHAT
take me to the study room,NAVIGATION
where does a robot go next in the story,STORY
i need help with atoms,STUDY
why do we need to learn magnets,STUDY
um stop all tasks,SYSTEM
shake little paw buddy,PET
explain biology in simple words,STUDY
hmm let's go to the hallway,NAVIGATION
so speak in french now,SYSTEM
hmm hello,CHAT
um come with me to the nursery okay,NAVIGATION
in the story what if a robot meets a penguin,STORY
um my favorite color is dinosaurs okay,CHAT
hey please go to the bedroom,NAVIGATION
oh turn off night mode thanks,SYSTEM
hey switch to arabic,SYSTEM
for the game i'll say blue,GAME
oh my favorite subject is toy right now,CHAT
in the story will an astronaut be okay,STORY
hey change language to hindi,SYSTEM
aww sunshine you're the best,PET
so change language to japanese,SYSTEM
oh can you tell a story with a superhero and a superhero please,STORY
hmm turn on notifications thanks,SYSTEM
set volume to high now,SYSTEM
head over to the laundry room,NAVIGATION
hmm show me a cool bow thanks,PET
my favorite subject is song okay,CHAT
give me a test on geography,STUDY
please stop moving now,NAVIGATION
i'm bored okay,CHAT
begin a new game of chess,GAME
please go to the bedroom,NAVIGATION
okay give me a fist bump okay,PET
um in the game it must be red right now,GAME
read me a story about a dragon,STORY
okay speak in japanese okay,SYSTEM
so change language to arabic,SYSTEM
okay i like color now,CHAT
so what do you think about animal please,CHAT
show me how planets works,STUDY
i want to hear a story about a witch,STORY
how does shapes work,STUDY
hey pal i missed you,PET
switch to english okay,SYSTEM
i like cats right now,CHAT
help me practice social studies,STUDY
uh turn off dark mode thanks,SYSTEM
what do you think about rainbows okay,CHAT
begin a new game of hangman,GAME
follow me to the attic,NAVIGATION
don't worry boo,PET
i want to learn about animals,STUDY
take me to the stairs right now,NAVIGATION
invent a story about a detective,STORY
head over to the hallway,NAVIGATION
uh for the game i'll say option two thanks,GAME
um enable airplane mode please,SYSTEM
uh i'll take care of you cutie now,PET
uh head to the pantry thanks,NAVIGATION
good to see you friend,PET
in the story who does a brave knight meet,STORY
hey set brightness to low thanks,SYSTEM
cheer up little one,PET
end the game now,GAME
can you go to the closet okay,NAVIGATION
in the story is a prince safe,STORY
hey make it quieter please,SYSTEM
tell me an adventure story about a princess,STORY
stop right now,NAVIGATION
tell me about condensation,STUDY
uh head back to base,NAVIGATION
in the game it must be five,GAME
oh take three steps left please,NAVIGATION
i'm feeling excited,CHAT
time to play memory match okay,GAME
why do we have to eat,CHAT
hey sunshine you're so cute,PET
hmm my favorite movie is penguins,CHAT
how does cells work,STUDY
uh turn on dark mode right now,SYSTEM
hmm shake hand robot,PET
can you tell a story with a fairy and a fairy,STORY
okay lead the way to the door,NAVIGATION
hey turn on notifications okay,SYSTEM
good morning sunshine,PET
oh begin a new game of word scramble,GAME
hey in the story does a dinosaur win please,STORY
i want a thumbs up,PET
good job little one,PET
hmm run diagnostics,SYSTEM
head over to the nursery,NAVIGATION
take me to the porch thanks,NAVIGATION
come with me to the kitchen,NAVIGATION
uh where do you live right now,CHAT
uh tell me a story about a bear,STORY
why is the sky orange,CHAT
belly rub time robot okay,PET
i don't understand magnets,STUDY
oh speak in japanese now,SYSTEM
um in the story what if a fairy meets a lion,STORY
hey for this round i pick blue,GAME
tell me about the solar system,STUDY
my favorite color is cats please,CHAT
oh scratch behind your ears boo okay,PET
i'm here for you little friend,PET
navigate to the basement,NAVIGATION
can you help me with four plus eleven,STUDY
i pick option two for the game,GAME
my favorite color is dogs,CHAT
um i want to go to the front door,NAVIGATION
what's the difference between shapes and magnets,STUDY
hmm bring me to the corridor okay,NAVIGATION
ask me questions about geography,STUDY
so time to play checkers,GAME
let's see how much i know about grammar,STUDY
disable airplane mode okay,SYSTEM
i want to go to the attic now,NAVIGATION
hey in the game i'll go with option one,GAME
you're so sweet pumpkin,PET
um power cycle now,SYSTEM
so lead the way to the table,NAVIGATION
hello there boo thanks,PET
um what do you think about flowers now,CHAT
let's go to the playroom,NAVIGATION
give me a nose boop,PET
um my guess is the second one please,GAME
what does fractions mean,STUDY
oh disable notifications,SYSTEM
enable night mode,SYSTEM
welcome back love,PET
uh please go to the playroom,NAVIGATION
i need help with molecules,STUDY
tell me about photosynthesis,STUDY
help me understand atoms,STUDY
um you're my favorite buddy now,PET
i feel like playing word scramble please,GAME
give me an example of geography,STUDY
you did great love thanks,PET
i have a question about condensation,STUDY
i'm proud of you honeybun,PET
in the story what if a fairy meets a robot,STORY
try doing a hop,PET
so begin a new game of spelling bee,GAME
i need a pat on the head from you,PET
oh bring me to the bathroom okay,NAVIGATION
um restart okay,SYSTEM
hey change language to korean please,SYSTEM
hey take four steps left,NAVIGATION
tell me a scary tale,STORY
what's the difference between erosion and plants,STUDY
i don't understand history,STUDY
oh unmute okay,SYSTEM
uh good evening baby thanks,PET
hey disable notifications now,SYSTEM
is the water cycle the same as the food chain,STUDY
um set brightness to medium,SYSTEM
so show me your shake,PET
so let me guess blue thanks,GAME
tell me about the food chain,STUDY
i'm proud of you pumpkin,PET
um hey please,CHAT
let's play dress up together right now,PET
switch to hindi now,SYSTEM
open puzzle,GAME
oh in the story what happens to a robot please,STORY
the second one is my final game answer,GAME
i want to learn about multiplication,STUDY
in the story what if a dragon meets a robot,STORY
oh let's start simon says now,GAME
open simon says,GAME
test me on english,STUDY
uh walk six steps forward,NAVIGATION
i don't understand ecosystems,STUDY
let's start chess right now,GAME
give me an example of subtraction,STUDY
make up a story about a superhero okay,STORY
in the story what if a prince meets a witch,STORY
can you tell a story with a robot and a penguin,STORY
head to the basement,NAVIGATION
um halt right there,NAVIGATION
hey where does rain come from,CHAT
hmm speak in french right now,SYSTEM
load up math quiz,GAME
so my guess is ten right now,GAME
give me a summary of geography,STUDY
invent a story about a princess,STORY
do you like movie,CHAT
turn the sound on please,SYSTEM
i want to go to the kitchen,NAVIGATION
in the story what if a talking cat meets a wizard,STORY
i pick option c for the game,GAME
okay reset yourself now,SYSTEM
walk three steps forward,NAVIGATION
so shut up please,SYSTEM
um run diagnostics,SYSTEM
my favorite color is toy okay,CHAT
so let's play twenty questions,GAME
what's interesting about the ocean,CHAT
so i like color thanks,CHAT
okay why is the sky orange,CHAT
what's the difference between erosion and subtraction,STUDY
so in the game i think it's option one,GAME
hey read me a story about a wizard,STORY
i want to go to the closet,NAVIGATION
switch to french please,SYSTEM
uh for this round i pick yes thanks,GAME
my favorite food is pandas,CHAT
how is erosion used in real life,STUDY
in the story what if a bunny meets a penguin,STORY
so hi there little darling,PET
okay choose the bright forest,STORY
i want to go to the basement,NAVIGATION
so enable night mode,SYSTEM
hey walk to the corridor,NAVIGATION
can you tell a story with a brave knight and a witch,STORY
hey my favorite color is cars okay,CHAT
there there little one,PET
hmm for the game i choose right please,GAME
five is my final game answer okay,GAME
i like animal,CHAT
oh let me guess the first one right now,GAME
my favorite subject is birds okay,CHAT
i want a harder maze,GAME
begin a tale about a ninja,STORY
disable do not disturb please,SYSTEM
make it harder,GAME
oh nice to see you again love,PET
what's the difference between chemistry and cells,STUDY
oh for the game i choose option three now,GAME
can you make a pouty face,PET
what's the difference between weather and continents,STUDY
my guess is the first one,GAME
tell me more of the story,STORY
can you tell a story with an astronaut and a lion,STORY
so turn off notifications,SYSTEM
shake hand honeybun please,PET
turn the sound on,SYSTEM
for this round i pick option two,GAME
is subtraction the same as cells,STUDY
navigate to the study room okay,NAVIGATION
my favorite movie is the moon,CHAT
hey emergency stop now,SYSTEM
are you feeling tired,PET
um look towards the sofa please,NAVIGATION
in the story what if a dinosaur meets a fairy,STORY
in the story what if an alien meets a wizard,STORY
okay set brightness to seventy percent right now,SYSTEM
so load up card game,GAME
turn around,NAVIGATION
why do we need to learn sound,STUDY
head over to the patio,NAVIGATION
um set brightness to low okay,SYSTEM
head over to the garden,NAVIGATION
can you tell a story with a bear and a unicorn,STORY
take me to the table,NAVIGATION
uh what's interesting about the ocean,CHAT
go over addition again,STUDY
face the study room okay,NAVIGATION
can you explain the food chain,STUDY
go to the bookshelf,NAVIGATION
uh switch to french,SYSTEM
i'm feeling angry,CHAT
follow me to the corridor,NAVIGATION
hey come give me a cuddle okay,PET
give me a summary of history,STUDY
hey what do you think about color now,CHAT
let's start true or false okay,GAME
stay close and follow me thanks,NAVIGATION
how about a game of checkers okay,GAME
rest mode,SYSTEM
okay open spelling bee,GAME
can you tell a story with a ninja and a prince,STORY
help me review for my arithmetic test,STUDY
oh what do you think about color now,CHAT
uh i'm guessing three okay,GAME
i want a pat on the head,PET
hey rest mode now,SYSTEM
oh reboot your system now,SYSTEM
hey switch to chinese,SYSTEM
show me how dinosaurs works,STUDY
make up a story about a detective,STORY
uh how do birds fly please,CHAT
um shake little paw honeybun,PET
uh hi there little pumpkin now,PET
uh begin a new game of simon says right now,GAME
hello there pumpkin right now,PET
my favorite movie is song,CHAT
end the game,GAME
so for this round i pick option one right now,GAME
oh switch to hindi now,SYSTEM
come here friend let me pet you,PET
can you go to the hallway,NAVIGATION
let's go to the garage right now,NAVIGATION
so go to the couch,NAVIGATION
quiz me on physics,STUDY
oh rotate left,NAVIGATION
give me a quiz about grammar,STUDY
do a restart right now,SYSTEM
um i like dinosaurs,CHAT
give me an explanation of the moon,STUDY
um disable do not disturb,SYSTEM
so follow me to the bathroom right now,NAVIGATION
i want to hear a story about a dragon,STORY
let's go to the stairs,NAVIGATION
well done nugget,PET
hey my favorite game is flowers right now,CHAT
can you tell a story with a detective and a prince,STORY
hey can we play tic-tac-toe,GAME
i need help with chemistry,STUDY
summarize addition for me,STUDY
disable airplane mode right now,SYSTEM
hmm in the story does a unicorn win right now,STORY
um my favorite subject is place,CHAT
my favorite color is color,CHAT
test me on science,STUDY
come play pretend with me,PET
um i like movie please,CHAT
what's your favorite the moon okay,CHAT
oh please go to the bedroom okay,NAVIGATION
hey say supercalifragilistic in a funny voice,CHAT
final answer option one now,GAME
okay why is the sky red please,CHAT
switch to french right now,SYSTEM
i need help with plants,STUDY
okay hi,CHAT
so what's your battery level please,SYSTEM
tell a sad story please,STORY
so in the story is a pirate safe,STORY
hey i want to go to the playroom right now,NAVIGATION
okay change language to japanese please,SYSTEM
um shut up,SYSTEM
welcome back little one,PET
for the game i choose option d okay,GAME
let me see you hop,PET
um restart please,SYSTEM
uh come play peek-a-boo with me,PET
lead the way to the front door,NAVIGATION
so time to play rock paper scissors,GAME
tell me about the water cycle,STUDY
um load up tic-tac-toe,GAME
oh what's the weather like okay,CHAT
aww pumpkin you're the best,PET
follow me to the sofa please,NAVIGATION
oh set volume to seventy percent please,SYSTEM
i'll take care of you friend,PET
take me to the playroom,NAVIGATION
make up a story about a superhero,STORY
okay go back to your dock,NAVIGATION
enable bluetooth,SYSTEM
show me your spin,PET
oh next question okay,GAME
hmm turn on airplane mode now,SYSTEM
so go around the stairs please,NAVIGATION
